Date,Artist Name - Headliner,Artist Name - Opener(s),Venue,City/State,Festival,Attended With,Reference
10/24/2006,Alice In Chains,,Rams Head Live,"Baltimore, MD",No,Adam,
11/10/2006,Cannibal Corpse,"Dying Fetus, Necrophagist",Jaxx,"Springfield, VA",No,,
11/14/2006,Obituary / Unleashed,,Sonar,"Baltimore, MD",No,Gates,
2/20/2007,Slayer,,9:30 Club,"Washington, DC",No,,
5/1/2007,Cannibal Corpse,,Sonar,"Baltimore, MD",No,,
5/18/2007,Heaven & Hell (Dio),"Megadeth, Machine Head",Merriweather Post Pav.,"Columbia, MD",No,,
5/24/2007 – 5/27/2007,MDF V,"Zyklon, Brutal Truth, Malevolent Creation, Ghoul, Misery Index",Sonar,"Baltimore, MD",Yes (MDF V),Tim,
7/7/2007,Necrophagist,,Sonar,"Baltimore, MD",No,,
7/12/2007,Amon Amarth,Goatwhore,Ottobar,"Baltimore, MD",No,,
10/20/2007,Clutch,,Downtown,"Hagerstown, MD",No,Dewey,
10/31/2007,Down,"The Sword, Spiderbait",Sonar,"Baltimore, MD",No,,
12/31/2007,Clutch,,Rams Head Live,"Baltimore, MD",No,,
2/9/2008,Down,,Starland Ballroom,"Sayreville, NJ",No,Adam,
2/28/2008,Kingdom of Sorrow,,Ottobar,"Baltimore, MD",No,"Adam, Gates",
4/12/2008,Testament,,Starland Ballroom,"Sayreville, NJ",No,Gates,
5/23/2008 – 5/25/2008,MDF VI,"Dying Fetus, Grave, Disfear, Fuck I’m Dead, Impaled, Engorged",Sonar,"Baltimore, MD",Yes (MDF VI),,
7/12/2008,Godbelow,,Lost Horizon,"Syracuse, NY",No,Adam,
9/10/2008,Carcass,"Suffocation, Misery Index, Pig Destroyer",Sonar,"Baltimore, MD",No,,
12/1/2008,Clutch,,9:30 Club,"Washington, DC",No,Adam,
12/31/2008,Clutch,,Rams Head Live,"Baltimore, MD",No,,
1/17/2009,Metallica,Machine Head,Wells Fargo Center,"Philadelphia, PA",No,"Adam, Miller",
2/11/2009,Vital Remains,(With Glen Benton),Jaxx,"Springfield, VA",No,,
3/14/2009,Misery Index,Vital Remains,Sonar,"Baltimore, MD",No,,
3/7/2024,Cannibal Corpse,"Hypocrisy, Exhumed, Vile",Trocadero Theatre,"Philadelphia, PA",No,Tim,
5/21/2009 – 5/24/2009,MDF VII,"Bolt Thrower, Asphyx, Pestilence, Mayhem, Marduk, Brutal Truth, Immolation",Sonar,"Baltimore, MD",Yes (MDF VII),"Tim, Gates",
6/26/2009,Alex Skolnick Trio,,Fletchers,"Baltimore, MD",No,Adam,
6/30/2009,Hank 3,,9:30 Club,"Washington, DC",No,Adam,
7/30/2009,Slayer,Marilyn Manson,Merriweather Post Pav.,"Columbia, MD",No,Adam,
9/8/2009,Down,The Melvins,Sonar,"Baltimore, MD",No,Adam,
9/12/2009,Clutch,,Electric Factory,"Philadelphia, PA",No,Adam,
9/25/2009,Satyricon,,Sonar,"Baltimore, MD",No,,
9/27/2009,Gwar,,Sonar,"Baltimore, MD",No,,
10/19/2009,God Dethroned,,Sonar,"Baltimore, MD",No,,
10/20/2009,Soulfly,"Prong, Cattle Decapitation",Recher Theatre,"Towson, MD",No,,
10/23/2009,EyeHateGod,"Pig Destroyer, Goatwhore",Ottobar,"Baltimore, MD",No,Adam,
11/9/2009,Cannibal Corpse,Hate Eternal,Recher Theatre,"Towson, MD",No,,
11/29/2009,Dying Fetus,Vital Remains,Sonar,"Baltimore, MD",No,,
12/10/2009,Gwar,,9:30 Club,"Washington, DC",No,Karin,
12/28/2009,Clutch,,9:30 Club,"Washington, DC",No,Adam,
1/15/2010,Nile,"Immolation, Krisiun",Sonar,"Baltimore, MD",No,,
3/9/2010,Goatwhore,,Sidebar,"Baltimore, MD",No,,
3/16/2010,Testament,Exodus,Rams Head Live,"Baltimore, MD",No,Chimber,
3/17/2010,Megadeth,,Rams Head Live,"Baltimore, MD",No,,
3/21/2010,Misery Index,,Talking Head,"Baltimore, MD",No,,
4/20/2010,Mastodon,,Rams Head Live,"Baltimore, MD",No,,
5/6/2010,Dying Fetus,Misery Index,Sonar,"Baltimore, MD",No,,
5/27/2010 – 5/30/2010,MDF VIII,"Autopsy, Obituary, Gorguts, Asphyx, Melechesh, Entombed",Sonar,"Baltimore, MD",Yes (MDF VIII),"Tim, Gates",
6/11/2010,Goatwhore,Misery Index,Ottobar,"Baltimore, MD",No,,
8/15/2010,Slayer,"Megadeth, Testament",Susquehanna Bank Center,"Camden, NJ",No,Gates,
1/22/2011 – 1/29/2011,Legendary Rhythm & Blues Cruise #16,"Taj Mahal, Matt Andersen, Damon Fowler, Zac Harmon, Ronnie Baker Brooks, Kenny Wayne Shepherd",ms Nieuw Amsterdam,"Fort Lauderdale, FL",Yes,Dad,
2/19/2011,Deicide,Jungle Rot,Montage Music Hall,"Rochester, NY",No,,
9/11/2011,Grave,"Entombed, Abigail Williams, Gnostic",Gramercy Theatre,"New York City, NY",No,Gates,
11/5/2011,Mayhem,,Montage Music Hall,"Rochester, NY",No,,
11/16/2011,Judas Priest,Black Label Society,Main St. Armory,"Rochester, NY",No,Adam,
5/17/2012,Joe Bonamassa,,Landmark Theatre,"Syracuse, NY",No,"Dad, Petrone",
5/26/2011 – 5/29/2011,MDF IX,"Neurosis, Acid Witch, Avulsed, Blood Freak, Nails, Inquisition, Hail of Bullets, Hooded Menace",Sonar,"Baltimore, MD",Yes (MDF IX),"Tim, Gates",
10/8/2011,Immolation,Jungle Rot,Montage Music Hall,"Rochester, NY",No,Tim,
10/18/2011,Cavalera Conspiracy,Otep,Lost Horizon,"Syracuse, NY",No,,
1/22/2012 – 1/29/2012,Legendary Rhythm & Blues Cruise #18,"Taj Mahal, Coco Montoya, Chris Cain, Kenny Neal, Matt Andersen",ms Nieuw Amsterdam,"Fort Lauderdale, FL",Yes,Dad,
3/22/2012,Gwar,"Ghoul, Municipal Waste",Westcott Theater,"Syracuse, NY",No,,
5/24/2012 – 5/27/2012,MDF X,"Morbid Angel, Archgoat, Autopsy, Haemorrhage, Suffocation, Disma, Dragged into Sunlight",Sonar,"Baltimore, MD",Yes (MDF X),,
7/24/2012,Slayer,"Motorhead, Anthrax",Montage Mountain,"Scranton, PA",No,,
9/13/2012,Kreator,Accept,Station 58,"Syracuse, NY",No,,
9/26/2012,Down,,Electric Factory,"Philadelphia, PA",No,Adam,
9/29/2012,Morbid Angel,"Dark Funeral, Grave",The Palladium,"Worcester, MA",No,Tim,
10/13/2012,Shadows Fall,,Station 58,"Syracuse, NY",No,Adam,
11/10/2012,Deicide,,Station 58,"Syracuse, NY",No,Tim,
1/20/2013 – 1/27/2013,Legendary Rhythm & Blues Cruise #20,"Tab Benoit, Otis Taylor, Southern Hospitality, MonkeyJunk, Taj Mahal",ms Nieuw Amsterdam,"Fort Lauderdale, FL",Yes,"Dad, Dewey",
2/16/2013,Dying Fetus,Shadows Fall,Westcott Theater,"Syracuse, NY",No,,
3/8/2013,Nile,,Montage Music Hall,"Rochester, NY",No,,
4/28/2013,Fear Factory,Hate Eternal,Montage Music Hall,"Rochester, NY",No,,
5/23/2013 – 5/26/2013,MDF XI,"Venom, Carcass, Down, The Melvins, Bolt Thrower, Broken Hope, Cobalt, Ihsahn",Edison Lot / Soundstage,"Baltimore, MD",Yes (MDF XI),"Tim, Gates",
7/27/2013,Melvins,,Westcott Theater,"Syracuse, NY",No,,
10/24/2013,Deicide,Broken Hope,Infest,"Austin, TX",No,"Tim, Gates",
10/24/2013 – 10/27/2013,Housecore Horror Film Festival I,"Down, GWAR, Goblin, Philip H. Anselmo & The Illegals, EyeHateGod",Emo’s / Antone’s,"Austin, TX",Yes,"Tim, Gates",
10/13/2013,Soulfly,,Lost Horizon,"Syracuse, NY",No,Karin,
2/1/2014,Amon Amarth,"Enslaved, Skeletonwitch",Water St. Music Hall,"Rochester, NY",No,Adam,
4/27/2014,High on Fire,"EyeHateGod, COC",Ottobar,"Baltimore, MD",No,,
5/14/2014,Nile,,Siberia,"New Orleans, LA",No,Tim,
5/15/2014,Amon Amarth,"Enslaved, Skeletonwitch",Electric Factory,"Philadelphia, PA",No,Tim,
5/22/2014 – 5/25/2014,MDF XII,"Triptykon, At The Gates, Unleashed, Soilent Green, Bolzer, Cancer, Asphyx, MIsery Index, Immolation",Edison Lot / Rams Head,"Baltimore, MD",Yes (MDF XII),,
7/5/2014,King Buzzo,(Acoustic),Westcott Theater,"Syracuse, NY",No,Gates,
10/10/2014,Suffocation,"Jungle Rot, Pyrexia",Empire (Jaxx),"Springfield, VA",No,,
10/13/2014,King Diamond,,The Fillmore,"Silver Spring, MD",No,Gates,
12/3/2014,Death to All,"Obituary, Massacre",Empire (Jaxx),"Springfield, VA",No,,
12/13/2014,Gwar,Corrosion of Conformity,Baltimore Soundstage,"Baltimore, MD",No,Taylor,
1/31/2015,Napalm Death,"Iron Reagan, Exhumed",Baltimore Soundstage,"Baltimore, MD",No,,
2/8/2015,EyeHateGod,"Corrosion of Conformity, Cro-Mags, Misery Index",Ottobar,"Baltimore, MD",No,,
3/2/2015,Cannibal Corpse,Behemoth,The Fillmore,"Silver Spring, MD",No,,
4/8/2015,Black Label Society,Wino (Acoustic),Rams Head Live,"Baltimore, MD",No,Taylor,
4/11/2015,At The Gates,Vallenfyre,Union Transfer,"Philadelphia, PA",No,,
4/28/2015,Testament,Exodus,The Fillmore,"Silver Spring, MD",No,,
5/16/2015,Clutch,Mastodon,Pier 6,"Baltimore, MD",No,"Taylor, Chimber",
5/21/2015 – 5/24/2015,MDF XIII,"Blood Red Throne, Suffocation, Vallenfyre, Primordial, Obituary, Demilich",Edison Lot / Rams Head,"Baltimore, MD",Yes (MDF XIII),,
1/28/2015,Machine Head,(Double Set),Baltimore Soundstage,"Baltimore, MD",No,Taylor,
8/4/2015,Dying Fetus,,The Pinch,"Washington, DC",No,,
9/19/2015,Shindig Festival,"Clutch,Anthrax, Helmet",Carroll Park,"Baltimore, MD",Yes (Shindig),Taylor,
10/17/2015,Cannibal Corpse,Cattle Decapitation,Lost Horizon,"Syracuse, NY",No,,
10/21/2015,Soulfly,"Decapitated, Soilwork",Ottobar,"Baltimore, MD",No,,
10/28/2015,Misery Index,Hate Eternal,Club Orpheus,"Baltimore, MD",No,,
11/6/2015,Vastum,,Sidebar,"Baltimore, MD",No,,
11/8/2015,Belphegor,,Baltimore Soundstage,"Baltimore, MD",No,,
11/10/2015,Mortuary Drape,"Mgla, Sangus",Metro Gallery,"Baltimore, MD",No,,
11/25/2015,Mayhem,"Watain, Rotting Christ",Soundstage,"Baltimore, MD",No,Gates,
1/30/2016,Florida Metal Fest,"Obituary, Deicide, Broken Hope, Corrosion of Conformity, Malevolent Creation",The Cuban Club,"Tampa, FL",Yes (FMF),,
2/2/2016,Cannibal Corpse,Obituary,Baltimore Soundstage,"Baltimore, MD",No,,
3/4/2016,Taake,,Metro Gallery,"Baltimore, MD",No,,
